#,context,disease_name,drug_name,workers_answers,medical_expert1,medical_expert2,medical_expert3,do_id,drug_brand_name,drug_id,label_id,sheet,expert_consensus,inter_agree_experts,Suggested Reason for No Consensus (Reason1),Suggested Reason for No Consensus (Reason2),"Relation, based on drug label context","Final 
(closest option)","Previous comments (from previous annotation, if applicable)",New comments (added during this step),Source of disagrrement-Category
10,"Betaxolol Hydrochloride Ophthalmic Solution has been shown to be effective in lowering intraocular pressure and is indicated in the treatment of ocular hypertension and chronic open-angle glaucoma. It may be used alone or in combination with other anti-glaucoma drugs.
In clinical studies, Betaxolol Hydrochloride Ophthalmic Solution was safely used to lower intraocular pressure in 47 patients with both glaucoma and reactive airway disease who were followed for a mean period of 15 months. However, caution should be used in treating patients with severe reactive airway disease or a history of asthma.",HYPERTENSION,BETAXOLOL,"i_dont_know
indication_treatment
indication_treatment",Indication: Treatment,Inconsistent,IDK,DOID_10763,,DB00195,aa8fb0a7-d31a-46aa-a207-f0d05afc1672.xml,Indication_treatment,No consensus,0,incomplete disease_name,incomplete drug_name,betaxolol ophthalmic solution is indicated for ocular hypertension,Indication_treatment,,,
45,"Loteprednol etabonate is indicated for the treatment of steroid responsive inflammatory conditions of the palpebral and bulbar conjunctiva, cornea and anterior segment of the globe such as allergic conjunctivitis, acne rosacea, superficial punctate keratitis, herpes zoster keratitis, iritis, cyclitis, selected infective conjunctivitides, when the inherent hazard of steroid use is accepted to obtain an advisable diminution in edema and inflammation. 
Loteprednol etabonate is less effective than prednisolone acetate 1% in two 28-day controlled clinical studies in acute anterior uveitis, where 72% of patients treated with loteprednol etabonate experienced resolution of anterior chamber cells, compared to 87% of patients treated with prednisolone acetate 1%. The incidence of patients with clinically significant increases in IOP (‰ä´10 mmHg) was 1% with loteprednol etabonate and 6% with prednisolone acetate 1%. Loteprednol etabonate should not be used in patients who require a more potent corticosteroid for this indication.
Loteprednol etabonate is also indicated for the treatment of post-operative inflammation following ocular surgery.",KERATITIS,LOTEPREDNOL,"i_dont_know
indication_treatment
indication_treatment",Indication: Symptomatic Relief,Indication: Treatment,IDK,DOID_4677,,DB00873,8ac9f50d-ead0-4ba4-9446-bbb51bfd001f.xml,Indication_treatment,No consensus,0,incomplete disease_name,,loteprednol is indicated for the treatment of a subtype of keratitis,Indication_treatment,,"Note that I use ""undetermined"" to mean that I cannot figure out why there was a lack of consensus among medical experts for a particular relation",Missing disease subtype
46,"['Hydrocortisone Tablets\xa0are indicated in the following conditions.', 'Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the first choice; synthetic analogs may be used in conjunction with mineralocorticoids where applicable; in infancy mineralocorticoid supplementation is of particular importance) Congenital adrenal hyperplasia Non suppurative thyroiditis Hypercalcemia associated with cancer\n                                    ', None, None, None, 'As adjunctive therapy for short-term administration (to tide the patient over an acute episode or exacerbation) in:', 'Psoriatic arthritis Rheumatoid arthritis, including juvenile rheumatoid arthritis (selected cases may require low-dose maintenance therapy) Ankylosing spondylitis Acute and subacute bursitis Acute nonspecific tenosynovitis Acute gouty arthritis Post-traumatic osteoarthritis Synovitis of osteoarthritis Epicondylitis\n                                    ', None, None, None, None, None, None, None, None, 'During an exacerbation or as maintenance therapy in selected cases of:', 'Systemic lupus erythematosus Systemic dermatomyositis (polymyositis) Acute rheumatic carditis\n                                    ', None, None, 'Pemphigus Bullous dermatitis herpetiformis Severe erythema multiforme (Stevens-Johnson syndrome) Exfoliative dermatitis Mycosis fungoides Severe psoriasis Severe seborrheic dermatitis\n                                    ', None, None, None, None, None, None, 'Control of severe or incapacitating allergic conditions intractable to adequate trials of conventional treatment:', 'Seasonal or perennial allergic rhinitis Serum sickness Bronchial asthma Contact dermatitis Atopic dermatitis Drug hypersensitivity reactions\n                                    ', None, None, None, None, None, 'Severe acute and chronic allergic and inflammatory processes involving the eye and its adnexa such as:', 'Allergic conjunctivitis Keratitis Allergic corneal marginal ulcers Herpes zoster ophthalmicus Iritis and iridocyclitis Chorioretinitis Anterior segment inflammation Diffuse posterior uveitis and choroiditis Optic neuritis Sympathetic ophthalmia\n                                    ', None, None, None, None, None, None, None, None, None, ""Symptomatic sarcoidosis Loeffler's syndrome not manageable by other means Berylliosis Fulminating or disseminated pulmonary tuberculosis when used concurrently with appropriate antituberculous chemotherapy Aspiration pneumonitis\n                                    "", None, None, None, None, 'Idiopathic thrombocytopenic purpura in adults Secondary thrombocytopenia in adults Acquired (autoimmune) hemolytic anemia Erythroblastopenia (RBC anemia) Congenital (erythroid) hypoplastic anemia\n                                    ', None, None, None, None, 'For palliative management of:', 'Leukemias and lymphomas in adults Acute leukemia of childhood\n                                    ', None, 'To induce a diuresis or remission of proteinuria in the nephrotic syndrome, without uremia, of the idiopathic type or that due to lupus erythematosus.', 'To tide the patient over a critical period of the disease in:', 'Ulcerative colitis Regional enteritis\n                                    ', None, 'Acute exacerbations of multiple sclerosis', 'Tuberculous meningitis with subarachnoid block or impending block when used concurrently with appropriate antituberculous chemotherapy', 'Trichinosis with neurologic or myocardial involvement']",KERATITIS,HYDROCORTISONE,"indication_treatment
indication_treatment
indication_treatment",Indication: Symptomatic Relief,Indication: Treatment,IDK,DOID_4677,,DB00741,b0f9b7ea-bac2-427d-92fa-4ccf1b149332.xml,Indication_treatment,No consensus,0,incomplete disease_name?,difficult-to-read text provided,hydrocortisone is indicated for the treatment of a subtype of keratitis,Indication_treatment,,,Missing disease subtype
6,"Tolcapone tablets, USP is indicated as an adjunct to levodopa and carbidopa for the treatment of the signs and symptoms of idiopathic Parkinson's disease. Because of the risk of potentially fatal, acute fulminant liver failure, tolcapone tablets, USP should ordinarily be used in patients with Parkinson's disease on l-dopa/carbidopa who are experiencing symptom fluctuations and are not responding satisfactorily to or are not appropriate candidates for other adjunctive therapies. Because of the risk of liver injury and because tolcapone tablets, USP, when it is effective, provides an observable symptomatic benefit, the patient who fails to show substantial clinical benefit within 3 weeks of initiation of treatment, should be withdrawn from tolcapone tablets, USP.
The effectiveness of tolcapone tablets, USP was demonstrated in randomized controlled trials in patients receiving concomitant levodopa therapy with carbidopa or another aromatic amino acid decarboxylase inhibitor who experienced end of dose wearing-off phenomena as well as in patients who did not experience such phenomena (see 
CLINICAL PHARMACOLOGY
Clinical Studies",PARKINSON'S DISEASE,TOLCAPONE,"indication_symptomatic_relief
indication_symptomatic_relief
indication_treatment",Indication: Symptomatic Relief,Indication: Treatment,Inconsistent,DOID_14330,,DB00323,658c55ce-6b19-4c53-8563-d03ea83f7ccd.xml,indication_symptomatic_relief,No consensus,0,unavailable relation category,,"tolcapone treats symptoms of parkinson's disease, without curative intent",Indication: Symptomatic Relief,,,Missing contextual information
41,"Bumetanide tablets USP are indicated for the treatment of edema associated with congestive heart failure, hepatic and renal disease, including the nephrotic syndrome.
Almost equal diuretic response occurs after oral and parenteral administration of bumetanide. Therefore, if impaired gastrointestinal absorption is suspected or oral administration is not practical, bumetanide should be given by the intramuscular or intravenous route. 
Successful treatment with bumetanide tablets USP following instances of allergic reactions to furosemide suggests a lack of cross-sensitivity.
Bumetanide is contraindicated in anuria. Although bumetanide tablets can be used to induce diuresis in renal insufficiency, any marked increase in blood urea nitrogen or creatinine, or the development of oliguria during therapy of patients with progressive renal disease, is an indication for discontinuation of treatment with bumetanide tablets. Bumetanide is also contraindicated in patients in hepatic coma or in states of severe electrolyte depletion until the condition is improved or corrected. Bumetanide is contraindicated in patients hypersensitive to this drug.",NEPHROTIC SYNDROME,BUMETANIDE,"indication_treatment
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Inconsistent,Indication: Treatment,DOID_1184,,DB00887,a94471b1-a588-44e7-b17b-b99f5c3ba31d.xml,indication_symptomatic_relief,No consensus,0,unavailable relation category,,"bumetanide treats symptoms of nephrotic syndrome, without curative intent",Indication: Symptomatic Relief,,,Missing contextual information
43,"The use of metoclopramide tablets, USP is recommended for adults only. Therapy should not exceed 12 weeks in duration.
Symptomatic Gastroesophageal Reflux:  Metoclopramide tablets, USP are indicated as short-term (4 to 12 weeks) therapy for adults with symptomatic, documented gastroesophageal reflux who fail to respond to conventional therapy.
The principal effect of metoclopramide is on symptoms of postprandial and daytime heartburn with less observed effect on nocturnal symptoms. If symptoms are confined to particular situations, such as following the evening meal, use of metoclopramide as single doses prior to the provocative situation should be considered, rather than using the drug throughout the day. Healing of esophageal ulcers and erosions has been endoscopically demonstrated at the end of a 12-week trial using doses of 15 mg q.i.d. As there is no documented correlation between symptoms and healing of esophageal lesions, patients with documented lesions should be monitored endoscopically.
Diabetic Gastroparesis (Diabetic Gastric Stasis):  Metoclopramide tablets, USP are indicated for the relief of symptoms associated with acute and recurrent diabetic gastric stasis. The usual manifestations of delayed gastric emptying (e.g., nausea, vomiting, heartburn, persistent fullness after meals, and anorexia) appear to respond to metoclopramide within different time intervals. Significant relief of nausea occurs early and continues to improve over a three-week period. Relief of vomiting and anorexia may precede the relief of abdominal fullness by one week or more.",GASTROPARESIS,METOCLOPRAMIDE,"indication_symptomatic_relief
indication_treatment
indication_symptomatic_relief",Indication: Symptomatic Relief,Indication: Treatment,Inconsistent,DOID_11914,,DB01233,42a00e68-d00d-219a-e054-00144ff88e88.xml,indication_symptomatic_relief,No consensus,0,unavailable relation category,,"metoclopramide treats symptoms of gastroparesis, without curative intent",Indication: Symptomatic Relief,,,Missing contextual information
48,"Mometasone Furoate Monohydrate Nasal Spray is a corticosteroid indicated for:
1. Treatment of Nasal Symptoms of Allergic Rhinitis in patients ‰ä´2 years of age (
1.1
2. Treatment of Nasal Congestion Associated with Seasonal Allergic Rhinitis in patients ‰ä´2 years of age (
1.2
3. Prophylaxis of Seasonal Allergic Rhinitis in patients ‰ä´12 years of age (
1.3
4. Treatment of Nasal Polyps in patients ‰ä´18 years of age (
1.4
Mometasone Furoate Monohydrate Nasal Spray 50 mcg is indicated for the treatment of the nasal symptoms of seasonal allergic and perennial allergic rhinitis, in adults and pediatric patients 2 years of age and older.
Mometasone Furoate Monohydrate Nasal Spray 50 mcg is indicated for the relief of nasal congestion associated with seasonal allergic rhinitis, in adults and pediatric patients 2 years of age and older.
Mometasone Furoate Monohydrate Nasal Spray 50 mcg is indicated for the prophylaxis of the nasal symptoms of seasonal allergic rhinitis in adult and adolescent patients 12 years and older.
Mometasone Furoate Monohydrate Nasal Spray 50 mcg is indicated for the treatment of nasal polyps in patients 18 years of age and older.",RHINITIS,Mometasone,"indication_treatment
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Inconsistent,Inconsistent,DOID_4483,,DB00764,0be7313b-8485-4264-bed8-40c57dc904f3.xml,indication_symptomatic_relief,No consensus,0,unavailable relation category,,"mometasone treats symptoms of thinitis, with curative intent",Indication_treatment,,,Missing contextual information
63,"[""KORLYM (mifepristone) is a cortisol receptor blocker indicated to control hyperglycemia secondary to hypercortisolism in adult patients with endogenous Cushing's syndrome who have type 2 diabetes mellitus or glucose intolerance and have failed surgery or are not candidates for surgery.\n"", 'LIMITATIONS OF USE:\n', '\n                     ', ""KORLYM should not be used in the treatment of patients with type 2 diabetes unless it is secondary to Cushing's syndrome.\n"", ""KORLYM (mifepristone) is a cortisol receptor blocker indicated to control hyperglycemia secondary to hypercortisolism in adult patients with endogenous Cushing's syndrome who have type 2 diabetes mellitus or glucose intolerance and have failed surgery or are not candidates for surgery. ("", '1', None, None, '\n                           ', '\n                              ', 'Important Limitations of Use:']",CUSHING'S SYNDROME,MIFEPRISTONE,"indication_treatment
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Inconsistent,Indication: Treatment,DOID_446,,DB00834,3599ebc6-5883-4986-8f76-61accb5ec415.xml,indication_symptomatic_relief,No consensus,0,unavailable relation category,,"mifespristone treats clinical manifestations of Cushing's disease, without curative intent",Indication: Symptomatic Relief,,,Missing contextual information
65,"Panretin gel is indicated for topical treatment of cutaneous lesions in patients with AIDS-related Kaposi‰Ûªs sarcoma.  Panretin gel is not indicated when systemic anti-KS therapy is required (e.g., more than 10 new KS lesions in the prior month, symptomatic lymphedema, symptomatic pulmonary KS, or symptomatic visceral involvement).  There is no experience to date using Panretin gel with systemic anti-KS treatment.",AIDS,ALITRETINOIN,"indication_treatment
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Inconsistent,IDK,DOID_635,,DB00523,50ab2ed7-651c-4952-91d6-5011709ae429.xml,indication_symptomatic_relief,No consensus,0,unavailable relation category,,"altretinoin treats clinical manifestations of AIDS, without curative intent",Indication: Symptomatic Relief,,,Missing contextual information
79,"Anuria.
 
 Hypersensitivity to any component of this product or to other sulfonamide-derived drugs.",ANURIA,Chlorothiazide Sodium,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Contraindication,IDK,DOID_2983,,DB00880,../DailyMedExtracter/prescription/temp_xml/1dab3243-f1dc-467d-b341-72aea14a0cce.xml,indication_symptomatic_relief,No consensus,0,undetermined,,,Contraindication,,,None
86,"Cleviprex is contraindicated in patients with:
 
  
 Allergy to soy or eggs 
 (4.1)
 Defective lipid metabolism 
 (4.2)
 Severe aortic stenosis 
 (4.3)
 Cleviprex is contraindicated in patients with allergies to soybeans, soy products, eggs, or egg products. 
 Cleviprex is contraindicated in patients with defective lipid metabolism such as pathologic hyperlipemia, lipoid nephrosis, or acute pancreatitis if it is accompanied by hyperlipidemia.
 Cleviprex is contraindicated in patients with severe aortic stenosis because afterload reduction can be expected to reduce myocardial oxygen delivery.",ACUTE PANCREATITIS,Cleviprex,"indication_symptomatic_relief
indication_symptomatic_relief
indication_symptomatic_relief",Indication: Symptomatic Relief,Contraindication,IDK,DOID_2913,,DB04920,../DailyMedExtracter/prescription/temp_xml/84cd997c-d395-4231-af87-92745009da0b.xml,indication_symptomatic_relief,No consensus,0,unavailable relation category,,cleviprex is contraindicated in a specific clinical setting in combination with acute pancreatitis,Contraindication,,"""cleviprex is contraindicated in patients with...acute pancreatitis if it is accompanied by hyperlipidemia""",Missing contextual information
